rouge1_f,rouge2_f,rougeL_f,compression_ratio,repetition_rate,guid,engine,method,max_sentences,article_char_len,predicted_summary,summarizer_core_latency_sec,input_truncation,resolved_max_new_tokens
0.4457831325301204,0.14634146341463417,0.27710843373493976,0.2309136420525657,0.03076923076923077,494,textrank,extractive,2,1598,"Tối 13/5 , thông_tin từ phòng Cảnh_sát hình_sự , Công_an tỉnh Đắk_Lắk cho biết , chiều cùng ngày đơn_vị đã đưa đối_tượng Nguyễn Hoàng Quân_Nhi , 23 tuổi , nhân_viên công_ty đòi nợ thuê ở TP. Sau khi tiếp_nhận trình_báo , bằng các biện_pháp nghiệp lực_lượng Công_an tỉnh Đắk_Lắk xác_định được đối tượng đe_doạ anh Đức là Nguyễn_Hoàng_Quân_Nhi , hiện đang ở quận 11 , TP.",0.0018310000014025718,,
0.39622641509433965,0.17307692307692307,0.3018867924528302,0.07410236822001529,0.46875,8563,textrank,extractive,2,2618,Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực . Việt_Anh Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực .,0.0018819999968400225,,
0.4888888888888889,0.348314606741573,0.35555555555555557,0.2013151239251391,0.0,55,textrank,extractive,2,1977,"Cà_Mau , Cà_Mau ) , Phó tổng_giám_đốc Công_ty TNHH Xây_dựng - Thương_mại - Du_lịch Công_Lý ( gọi tắt là Công_ty Công_Lý ) để điều_tra về hành_vi lừa_đảo chiếm_đoạt tài_sản theo Điều 179 Bộ Luật_hình_sự . Thông_tin trên báo Người Lao_Động , gần đây , công_ty Công_Lý đề_xuất UBND tỉnh Cà_Mau cấp kinh_phí và đất để chôn xác thai_nhi do nhà_máy rác của công_ty này phát_hiện từ khi đi vào hoạt_động .",0.002347600006032735,,
0.6590909090909092,0.3023255813953488,0.5,0.07892057026476579,0.4,11152,textrank,extractive,2,1964,Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona . Hồng_Hạnh ( Theo Fox_News ) Hơn 100 người di_cư vào Mỹ qua đoạn tường biên_giới ở Arizona .,0.0013469999976223335,,
0.5205479452054795,0.20833333333333331,0.31506849315068497,0.06281179138321996,0.06557377049180324,5005,textrank,extractive,2,4410,"Ngày 17-11-2015 , Nga tuyên bố các hành động khủng bố là nguyên_nhân khiến máy bay Metrojet bị rơi sau khi phát hiện các dấu vết của thuốc nổ trên xác mác bay . Vụ đánh bom máy bay Nga năm 2015 được xem là hành động khủng bố đẫm máu nhất nhắm vào du khách nước ngoài ở Ai Cập .",0.009827499990933575,,
0.45833333333333326,0.17021276595744683,0.3333333333333333,0.1388499298737728,0.09999999999999998,10389,textrank,extractive,2,1426,"Căn_cứ Guam của Mỹ ở Thái_Bình_Dương . Triều_Tiên hôm 9/8 tuyên_bố sẽ tấn_công đảo Guam , căn_cứ_quân_sự quan_trọng của Mỹ ở Thái_Bình_Dương , bằng tên_lửa_đạn_đạo chiến_lược tầm trung Hwasong -12 .",0.0011134999949717894,,
0.5254237288135594,0.3275862068965517,0.4406779661016949,0.11577350859453994,0.47058823529411764,7706,textrank,extractive,2,1978,Tổng_thống Mỹ Donald_Trump phát_biểu về kế_hoạch rút Mỹ khỏi Hiệp_định Paris chống biến_đổi khí_hậu ngày 1/6 . An_Hồng Tổng_thống Mỹ Donald_Trump phát_biểu về kế_hoạch rút Mỹ khỏi Hiệp_định Paris chống biến_đổi khí_hậu ngày 1/6 .,0.0009197999897878617,,
0.6741573033707865,0.4827586206896552,0.5393258426966292,0.10719754977029096,0.03703703703703709,3927,textrank,extractive,2,1306,"Ông Lê_Hoà_Bình được điều_động về làm chủ_tịch UBND quận 7 vào tháng 3-2016 . Trước khi về quận 7 , ông Bình là phó Giám_đốc Sở Xây_dựng TP.",0.0010996000055456534,,
0.5686274509803921,0.32673267326732675,0.43137254901960786,0.17440912795436023,0.02898550724637683,14906,textrank,extractive,2,2454,"Chiều 13/6 , theo người_dân phản_ánh , công_ty Toàn_Tích_Thiện đã ngang_nhiên cho nhiều xe_tải chở chất_thải xây_dựng trộn lẩn hoá_chất ( màu xanh , đỏ , tím ) và nhiều bao_bì ghi chữ nước_ngoài đổ san_lấp xuống_đường dân_sinh nhánh nối từ trục đường 4C ra khu nhà_quản_lý của công_ty Toàn_Tích_Thiện , thuộc phường Quảng_Vinh , TP. Con đường dân_sinh bị doanh_nghiệp đổ chất_thải xây_dựng lẫn hoá_chất khiến người_dân bức_xúc .",0.0018177000019932166,,
0.39534883720930236,0.1411764705882353,0.26744186046511625,0.16075071399428806,0.042857142857142816,10408,textrank,extractive,2,2451,"Các nhà điều_tra phải xác_định tại_sao phi cơ không đủ nhiên_liệu bởi nó chỉ còn cách sân_bay 8 km . Thiếu nhiên_liệu là điều "" rất , rất hiếm xảy ra trong hàng_không thương_mại bởi có nhiều khâu kiểm_tra để chắc_chắn phi cơ đủ nhiên_liệu thực_hiện hành_trình "" , Grant_Brophy , nhà điều_tra an_toàn hàng_không , nói , cảnh_báo không nên đưa ra quá nhiều suy_đoán dựa vào hình_ảnh hiện_trường .",0.002118999997037463,,
0.6521739130434782,0.23684210526315788,0.3391304347826087,0.10348139255702281,0.04054054054054057,14913,textrank,extractive,2,4165,"Chia_sẻ cảm_xúc về bộ_phim , cô Văn_Thuỳ_Dương , con_gái PGS Văn_Như_Cương , Phó Hiệu_trưởng trường Lương_Thế_Vinh bày_tỏ , bộ_phim nói lên sự giản_dị và chân_thực về cuộc_đời của thầy Văn_Như_Cương , một ông đồ khó_tính nhiều khi đến khó chiụ nhưng ẩn sau đó là một tình yêu_thương bao_la đối_với học_sinh , với mọi người . Các khách mời , giáo_viên và học_sinh trường Lương_Thế_Vinh xem bộ phim Ông đồ gàn về thầy Văn_Như_Cương .",0.0074976000032620504,,
0.495575221238938,0.16216216216216217,0.2831858407079646,0.04796511627906977,0.0,14438,textrank,extractive,2,2752,"Cô_giáo chủ_nhiệm N.T . Ông Lê_Hữu_Phước , Hội_trưởng hội Cha_mẹ học_sinh Trường THCS Duy_Ninh cho_biết : "" Hành_động của cô_giáo T.",0.008631100005004555,,
0.38775510204081637,0.10416666666666667,0.24489795918367344,0.08043732916829363,0.02941176470588236,1241,textrank,extractive,2,2561,"Nhân chuyến biểu_diễn của Hồ_Quỳnh_Hương ở Hà_Nội , fan club của nữ ca_sĩ đã tổ_chức buổi giao_lưu ấm_cúng với các fan thân_thiết nhất . Song_Ngư Nữ ca_sĩ Hồ_Quỳnh_Hương trong buổi giao_lưu với fan hâm_mộ .",0.002792700004647486,,
0.4832214765100671,0.24489795918367346,0.2684563758389262,0.08717105263157894,0.037735849056603765,19076,textrank,extractive,2,3648,"Sở Giao_thông Vận_tải tỉnh Thanh_Hoá vừa hoàn_thành cầu bộ_hành bắc qua đường_sắt tại nút giao_cắt từ quốc_lộ 1A rẽ vào quốc_lộ 217B , ở xã Quang_Trung , thị_xã Bỉm_Sơn . Mục_đích xây_dựng cầu nhằm phục_vụ cho việc đi_lại của người_dân xã Quang_Trung khi ngành đường_sắt thực_hiện đóng chắn nút giao đầu quốc_lộ 217B .",0.005271300004096702,,
0.6468401486988847,0.3670411985018727,0.3420074349442379,0.13967555677756394,0.024691358024691357,13998,textrank,extractive,2,3637,"Thanh_toán điện_tử được khuyến_khích bởi những hoạt_động thanh_toán này sẽ được ghi lại trên hệ_thống và từ đó nhà_chức_trách có_thể dễ_dàng kiểm_tra , giám_sát , cũng như bảo_vệ cho người dùng . Có_thể nói , sự nhập_cuộc vô_cùng mạnh_mẽ của hệ_thống ngân_hàng cùng sự phát_triển không ngừng của công_nghệ tạo điều_kiện cho người tiêu_dùng được trải nghiệm nhiều hơn các tiện_ích tài_chính hiện_đại với độ an_toàn , bảo_mật cao , từ đó dần thay_đổi thói_quen thanh_toán bằng tiền_mặt sang thanh_toán online .",0.003159400002914481,,
0.6060606060606061,0.4,0.37878787878787873,0.08403361344537816,0.09756097560975607,4850,textrank,extractive,2,3213,Tổng_thống Hàn_Quốc Roh_Moo_Hyun và phu_nhân trở_về Hàn_Quốc ( giữa ) sau hội_nghị thượng_đỉnh liên Triều lần 2 năm 2007 - Ảnh : NYT . Nhà_lãnh_đạo Triều_Tiên_Kim_Jong_Il đón_tiếp Tổng_thống Hàn_Quốc Roh_Moo_Hyun ( phải ) tại Bình_Nhưỡng ngày 2-10-2007 - Ảnh : REUTERS .,0.0038096999924164265,,
0.6428571428571428,0.30434782608695654,0.3571428571428571,0.14136125654450263,0.475,19760,textrank,extractive,2,1719,Tàu khách dân_sự đầu_tiên dự_kiến được đưa vào sử_dụng trong 2015 tạo thuận_lợi đi_lại giữa đất_liền và đảo Cồn_Cỏ . Hoàng_Táo Tàu khách dân_sự đầu_tiên dự_kiến được đưa vào sử_dụng trong 2015 tạo thuận_lợi đi_lại giữa đất_liền và đảo Cồn_Cỏ .,0.0014691999967908487,,
0.7100591715976331,0.4550898203592814,0.40236686390532544,0.09426356589147286,0.09999999999999998,2581,textrank,extractive,2,3225,"Ngày 7-8 , đại_diện báo Tuổi_Trẻ tại Thanh_Hoá phối_hợp với Đảng_uỷ , UBND xã Na_Mèo , huyện Quan_Sơn đến bản Sa_Ná trao tiền của bạn_đọc báo Tuổi_Trẻ cho 34 hộ dân của bản bị mất nhà do đợt mưa_lũ vừa_qua . Người_dân bản Sa_Ná , xã Na_Mèo , huyện Quan_Sơn đi nhận hàng cứu_trợ ngày 7-8 - Ảnh : HÀ_ĐỒNG .",0.00458999999682419,,
0.46391752577319584,0.13541666666666669,0.26804123711340205,0.17985927880386984,0.0117647058823529,5590,textrank,extractive,2,2274,"Tuyên bố trước các nhà báo tại Bắc Kinh ngày 29-1 , ông Wen_Ku - một quan chức cấp cao của Bộ công nghiệp và Công nghệ thông_tin Trung_Quốc , chỉ trích các cáo buộc của Mỹ là "" bất công và vô đạo đức "" . Hãng tin AFP cho_biết Bộ Tư_pháp Mỹ ngày 28-1 đã công_bố 13 cáo_buộc chống lại bà Mạnh ( hiện đang được bảo_lãnh tại_ngoại ở Canada ) và 3 chi_nhánh liên_quan đến việc vi_phạm lệnh trừng_phạt Iran của Mỹ .",0.0015938999858917668,,
0.5034965034965034,0.24647887323943662,0.2867132867132867,0.21392016376663256,0.02941176470588236,14528,textrank,extractive,2,2931,"Do_vậy , bộ GTVT đề_nghị Uỷ_ban_nhân_dân tỉnh Quảng_Ninh chỉ_đạo Sở GTVT Quảng_Ninh khẩn_trương yêu_cầu nhà_đầu_tư , Công_ty_Cổ_phần BOT Bạch_Đằng chỉ_đạo các đơn_vị tư_vấn thiết_kế , tư_vấn chuyển_giao công_nghệ , tư_vấn giám_sát kiểm_tra hiện_trường nghiên_cứu , đánh_giá các yếu_tố kỹ_thuật của cầu , trắc dọc cầu , ổn_định trụ tháp , ứng suất dây văng … Về nguyên_nhân dẫn đến hiện_tượng lún võng , trao_đổi với báo Giao_Thông vào ngày 3/11 , ông Nguyễn_Tiến_Oánh , Phó tổng_giám_đốc Công_ty CP BOT cầu Bạch_Đằng lý_giải , đây không phải là tình_trạng lún võng do khai_thác mà là sự chênh_lệch cao_độ giữa các đốt đúc dầm .",0.0020444999972824007,,
