guid,article_char_len,summary_engine,format,status,error,rouge1_f,rouge2_f,rougeL_f,rougeL_delta_vs_baseline,compression_ratio,repetition_rate,cleaned_char_len,sentence_count,ingest_latency_sec,summarize_latency_sec,predicted_summary,ingest_exact_match,ingest_char_len_ratio,ingest_sentence_count_delta,ingest_rougeL_f,ingest_replacement_char_count
494,1598,tfidf,text_baseline,ok,,0.46979865771812085,0.1360544217687075,0.25503355704697983,0.0,0.2002503128911139,0.013333333333333308,1598,15,0.00025440000172238797,0.0006588000105693936,"Trước đó , chiều 4/5 anh Đức liên tục nhận được điện thoại từ 4 số lạ gọi đến với nội dung đe dọa đến bản thân anh và gia đình của anh . Theo anh Đức , thời_gian qua , đã đưa tin , phản ánh nhiều vụ việc phức tạp , tiêu_cực , ảnh hưởng đến quyền lợi của một số cá nhân , tổ_chức nên nghi_ngờ bị kẻ xấu đe_đoạ , trả_thù .",True,1.0,0,1.0,0
494,1598,tfidf,file_txt,ok,,0.46979865771812085,0.1360544217687075,0.25503355704697983,0.0,0.2002503128911139,0.013333333333333308,1598,15,0.0026052000030176714,0.0003364000003784895,"Trước đó , chiều 4/5 anh Đức liên tục nhận được điện thoại từ 4 số lạ gọi đến với nội dung đe dọa đến bản thân anh và gia đình của anh . Theo anh Đức , thời_gian qua , đã đưa tin , phản ánh nhiều vụ việc phức tạp , tiêu_cực , ảnh hưởng đến quyền lợi của một số cá nhân , tổ_chức nên nghi_ngờ bị kẻ xấu đe_đoạ , trả_thù .",True,1.0,0,1.0,0
494,1598,tfidf,file_docx,ok,,0.46979865771812085,0.1360544217687075,0.25503355704697983,0.0,0.2002503128911139,0.013333333333333308,1598,15,0.020808000001125038,0.00036210000689607114,"Trước đó , chiều 4/5 anh Đức liên tục nhận được điện thoại từ 4 số lạ gọi đến với nội dung đe dọa đến bản thân anh và gia đình của anh . Theo anh Đức , thời_gian qua , đã đưa tin , phản ánh nhiều vụ việc phức tạp , tiêu_cực , ảnh hưởng đến quyền lợi của một số cá nhân , tổ_chức nên nghi_ngờ bị kẻ xấu đe_đoạ , trả_thù .",True,1.0,0,1.0,0
494,1598,tfidf,file_pdf,ok,,0.04,0.0,0.04,-0.21503355704697982,0.011264080100125156,0.0,1598,53,0.017546500006574206,0.00047059998905751854,"thuê ? , tr?_thù .",False,1.0,38,1.0,0
8563,2618,tfidf,text_baseline,ok,,0.3931623931623932,0.06956521739130435,0.2222222222222222,0.0,0.10809778456837281,0.0,2618,17,0.00015589999384246767,0.00040830000943969935,"Philippines đã sử_dụng công_cụ pháp_lý , đệ đơn kiện lên Toà_án Trọng_tài Thường_trực ở The_Hague ( La_Haye ) , Hà_Lan , từ tháng 1/2013 , cho_rằng yêu_sách chủ_quyền của Trung_Quốc tại Biển_Đông không phù_hợp với UNCLOS và cần được tuyên_bố là không có căn_cứ . Ảnh minh_hoạ : TTXVN",True,1.0,0,1.0,0
8563,2618,tfidf,file_txt,ok,,0.3931623931623932,0.06956521739130435,0.2222222222222222,0.0,0.10809778456837281,0.0,2618,17,0.0037262000114424154,0.0004817000008188188,"Philippines đã sử_dụng công_cụ pháp_lý , đệ đơn kiện lên Toà_án Trọng_tài Thường_trực ở The_Hague ( La_Haye ) , Hà_Lan , từ tháng 1/2013 , cho_rằng yêu_sách chủ_quyền của Trung_Quốc tại Biển_Đông không phù_hợp với UNCLOS và cần được tuyên_bố là không có căn_cứ . Ảnh minh_hoạ : TTXVN",True,1.0,0,1.0,0
8563,2618,tfidf,file_docx,ok,,0.3931623931623932,0.06956521739130435,0.2222222222222222,0.0,0.10809778456837281,0.0,2618,17,0.02105880000453908,0.0004676999960793182,"Philippines đã sử_dụng công_cụ pháp_lý , đệ đơn kiện lên Toà_án Trọng_tài Thường_trực ở The_Hague ( La_Haye ) , Hà_Lan , từ tháng 1/2013 , cho_rằng yêu_sách chủ_quyền của Trung_Quốc tại Biển_Đông không phù_hợp với UNCLOS và cần được tuyên_bố là không có căn_cứ . Ảnh minh_hoạ : TTXVN",True,1.0,0,1.0,0
8563,2618,tfidf,file_pdf,ok,,0.09302325581395347,0.0,0.09302325581395347,-0.12919896640826872,0.016412213740458016,0.0,2620,65,0.01775949999864679,0.0006474999972851947,"The_Hague ( La_Haye ) ,
Hà_Lan , t? : TTXVN",False,1.0007639419404126,48,1.0,0
55,1977,tfidf,text_baseline,ok,,0.4666666666666667,0.0909090909090909,0.2888888888888889,0.0,0.06525037936267071,0.0,1977,19,0.00014119999832473695,0.00036859999818261713,"HCM để thẩm_vấn "" , một giám_đốc doanh_nghiệp có quyền_lợi , nghĩa_vụ liên_quan nói trên Zing.vn . HCM vào chiều một ngày_trước .",True,1.0,0,1.0,0
55,1977,tfidf,file_txt,ok,,0.4666666666666667,0.0909090909090909,0.2888888888888889,0.0,0.06525037936267071,0.0,1977,19,0.0028778999985661358,0.000563299996429123,"HCM để thẩm_vấn "" , một giám_đốc doanh_nghiệp có quyền_lợi , nghĩa_vụ liên_quan nói trên Zing.vn . HCM vào chiều một ngày_trước .",True,1.0,0,1.0,0
